"center_frequency_amplitude","center_frequency_amplitude_timestamp_before","center_frequency_amplitude_timestamp_after","peak_frequency","peak_amplitude","peak_timestamp_before","peak_timestamp_after"
"-63.67","2025-02-26T22:33:52.341736+00:00","2025-02-26T22:33:52.436323+00:00","8450000520.0","-63.5","2025-02-26T22:33:52.436323+00:00","2025-02-26T22:33:52.496780+00:00"
"-63.67","2025-02-26T22:33:52.496780+00:00","2025-02-26T22:33:52.581510+00:00","8450000520.0","-63.5","2025-02-26T22:33:52.581510+00:00","2025-02-26T22:33:52.641676+00:00"
"-63.67","2025-02-26T22:33:52.641676+00:00","2025-02-26T22:33:52.732464+00:00","8450000520.0","-63.5","2025-02-26T22:33:52.732464+00:00","2025-02-26T22:33:52.798818+00:00"
"-63.67","2025-02-26T22:33:52.799345+00:00","2025-02-26T22:33:52.895628+00:00","8450000520.0","-63.5","2025-02-26T22:33:52.895628+00:00","2025-02-26T22:33:52.955577+00:00"
"-63.67","2025-02-26T22:33:52.955577+00:00","2025-02-26T22:33:53.043191+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.043191+00:00","2025-02-26T22:33:53.106341+00:00"
"-63.67","2025-02-26T22:33:53.106341+00:00","2025-02-26T22:33:53.189882+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.189882+00:00","2025-02-26T22:33:53.259892+00:00"
"-63.67","2025-02-26T22:33:53.259892+00:00","2025-02-26T22:33:53.350205+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.350205+00:00","2025-02-26T22:33:53.414441+00:00"
"-63.67","2025-02-26T22:33:53.415563+00:00","2025-02-26T22:33:53.501657+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.501657+00:00","2025-02-26T22:33:53.561656+00:00"
"-63.67","2025-02-26T22:33:53.562655+00:00","2025-02-26T22:33:53.640196+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.640196+00:00","2025-02-26T22:33:53.700652+00:00"
"-63.67","2025-02-26T22:33:53.700652+00:00","2025-02-26T22:33:53.801429+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.801429+00:00","2025-02-26T22:33:53.860393+00:00"
"-63.67","2025-02-26T22:33:53.864398+00:00","2025-02-26T22:33:53.950855+00:00","8450000520.0","-63.5","2025-02-26T22:33:53.950855+00:00","2025-02-26T22:33:54.011503+00:00"
"-63.67","2025-02-26T22:33:54.011503+00:00","2025-02-26T22:33:54.092163+00:00","8450000520.0","-63.5","2025-02-26T22:33:54.092163+00:00","2025-02-26T22:33:54.157368+00:00"
"-63.67","2025-02-26T22:33:54.157368+00:00","2025-02-26T22:33:54.238285+00:00","8450000520.0","-63.5","2025-02-26T22:33:54.238285+00:00","2025-02-26T22:33:54.308458+00:00"
"-63.67","2025-02-26T22:33:54.308458+00:00","2025-02-26T22:33:54.395600+00:00","8450000520.0","-63.5","2025-02-26T22:33:54.395600+00:00","2025-02-26T22:33:54.450031+00:00"
"-63.67","2025-02-26T22:33:54.450031+00:00","2025-02-26T22:33:54.540248+00:00","8450000520.0","-63.5","2025-02-26T22:33:54.540248+00:00","2025-02-26T22:33:54.596527+00:00"
"-63.67","2025-02-26T22:33:54.596527+00:00","2025-02-26T22:33:54.684631+00:00","8450000520.0","-63.5","2025-02-26T22:33:54.684631+00:00","2025-02-26T22:33:54.744759+00:00"
"-64.5","2025-02-26T22:33:54.754926+00:00","2025-02-26T22:33:54.835012+00:00","8450000520.0","-64.33","2025-02-26T22:33:54.835012+00:00","2025-02-26T22:33:54.901763+00:00"
"-64.5","2025-02-26T22:33:54.902714+00:00","2025-02-26T22:33:54.987860+00:00","8450000520.0","-64.33","2025-02-26T22:33:54.987860+00:00","2025-02-26T22:33:55.041260+00:00"
"-64.5","2025-02-26T22:33:55.041260+00:00","2025-02-26T22:33:55.133129+00:00","8450000520.0","-64.33","2025-02-26T22:33:55.133129+00:00","2025-02-26T22:33:55.194112+00:00"
"-64.5","2025-02-26T22:33:55.194112+00:00","2025-02-26T22:33:55.297177+00:00","8450000520.0","-64.33","2025-02-26T22:33:55.297177+00:00","2025-02-26T22:33:55.357267+00:00"
"-64.5","2025-02-26T22:33:55.357267+00:00","2025-02-26T22:33:55.463428+00:00","8450000520.0","-64.33","2025-02-26T22:33:55.463428+00:00","2025-02-26T22:33:55.521695+00:00"
"-64.5","2025-02-26T22:33:55.521695+00:00","2025-02-26T22:33:55.622627+00:00","8450000520.0","-64.33","2025-02-26T22:33:55.622627+00:00","2025-02-26T22:33:55.687714+00:00"
"-64.5","2025-02-26T22:33:55.687714+00:00","2025-02-26T22:33:55.776987+00:00","8450000520.0","-64.33","2025-02-26T22:33:55.776987+00:00","2025-02-26T22:33:55.837500+00:00"
"-64.5","2025-02-26T22:33:55.837500+00:00","2025-02-26T22:33:55.930225+00:00","8450000520.0","-64.33","2025-02-26T22:33:55.930225+00:00","2025-02-26T22:33:55.995222+00:00"
"-64.5","2025-02-26T22:33:55.995761+00:00","2025-02-26T22:33:56.081554+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.081554+00:00","2025-02-26T22:33:56.141908+00:00"
"-64.5","2025-02-26T22:33:56.141908+00:00","2025-02-26T22:33:56.238814+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.238814+00:00","2025-02-26T22:33:56.296796+00:00"
"-64.5","2025-02-26T22:33:56.296796+00:00","2025-02-26T22:33:56.392775+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.392775+00:00","2025-02-26T22:33:56.447578+00:00"
"-64.5","2025-02-26T22:33:56.447578+00:00","2025-02-26T22:33:56.535154+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.535154+00:00","2025-02-26T22:33:56.596881+00:00"
"-64.5","2025-02-26T22:33:56.596881+00:00","2025-02-26T22:33:56.688137+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.688137+00:00","2025-02-26T22:33:56.748952+00:00"
"-64.5","2025-02-26T22:33:56.748952+00:00","2025-02-26T22:33:56.828021+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.828021+00:00","2025-02-26T22:33:56.891966+00:00"
"-64.5","2025-02-26T22:33:56.891966+00:00","2025-02-26T22:33:56.985477+00:00","8450000520.0","-64.33","2025-02-26T22:33:56.985477+00:00","2025-02-26T22:33:57.045526+00:00"
"-64.5","2025-02-26T22:33:57.045526+00:00","2025-02-26T22:33:57.136167+00:00","8450000520.0","-64.33","2025-02-26T22:33:57.136167+00:00","2025-02-26T22:33:57.194703+00:00"
"-64.5","2025-02-26T22:33:57.194703+00:00","2025-02-26T22:33:57.286682+00:00","8450000520.0","-64.33","2025-02-26T22:33:57.286682+00:00","2025-02-26T22:33:57.340276+00:00"
"-64.5","2025-02-26T22:33:57.340276+00:00","2025-02-26T22:33:57.436223+00:00","8450000520.0","-64.33","2025-02-26T22:33:57.436223+00:00","2025-02-26T22:33:57.492779+00:00"
"-64.5","2025-02-26T22:33:57.492779+00:00","2025-02-26T22:33:57.578652+00:00","8450000520.0","-64.33","2025-02-26T22:33:57.578652+00:00","2025-02-26T22:33:57.656930+00:00"
"-64.5","2025-02-26T22:33:57.656930+00:00","2025-02-26T22:33:57.742117+00:00","8450000520.0","-64.33","2025-02-26T22:33:57.742117+00:00","2025-02-26T22:33:57.797750+00:00"
"-64.5","2025-02-26T22:33:57.797750+00:00","2025-02-26T22:33:57.891276+00:00","8450000520.0","-64.33","2025-02-26T22:33:57.891276+00:00","2025-02-26T22:33:57.945576+00:00"
"-64.5","2025-02-26T22:33:57.945576+00:00","2025-02-26T22:33:58.046085+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.046085+00:00","2025-02-26T22:33:58.116327+00:00"
"-64.5","2025-02-26T22:33:58.116327+00:00","2025-02-26T22:33:58.205552+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.205552+00:00","2025-02-26T22:33:58.264880+00:00"
"-64.5","2025-02-26T22:33:58.264880+00:00","2025-02-26T22:33:58.354900+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.354900+00:00","2025-02-26T22:33:58.417518+00:00"
"-64.5","2025-02-26T22:33:58.418443+00:00","2025-02-26T22:33:58.506542+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.506542+00:00","2025-02-26T22:33:58.566976+00:00"
"-64.5","2025-02-26T22:33:58.566976+00:00","2025-02-26T22:33:58.657707+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.657707+00:00","2025-02-26T22:33:58.718244+00:00"
"-64.5","2025-02-26T22:33:58.718244+00:00","2025-02-26T22:33:58.813354+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.813354+00:00","2025-02-26T22:33:58.874914+00:00"
"-64.5","2025-02-26T22:33:58.876111+00:00","2025-02-26T22:33:58.962440+00:00","8450000520.0","-64.33","2025-02-26T22:33:58.962440+00:00","2025-02-26T22:33:59.023201+00:00"
"-64.5","2025-02-26T22:33:59.024174+00:00","2025-02-26T22:33:59.117337+00:00","8450000520.0","-64.33","2025-02-26T22:33:59.117337+00:00","2025-02-26T22:33:59.180274+00:00"
"-64.5","2025-02-26T22:33:59.180274+00:00","2025-02-26T22:33:59.268155+00:00","8450000520.0","-64.33","2025-02-26T22:33:59.268155+00:00","2025-02-26T22:33:59.326629+00:00"
